1        	0.138	21699516	0.000	1.000	0.000	-0.000	0.000	0.000
2        	0.099	10035511	0.000	0.003	0.000	0.000	-0.000	0.000
3        	0.116	3549998	0.005	0.047	0.009	0.000	0.005	0.000
4        	0.134	690987	0.005	0.047	0.009	0.000	0.005	0.000
5        	0.236	496218	0.005	0.047	0.009	0.000	0.005	0.000
6        	0.433	416111	0.005	0.047	0.009	0.000	0.005	0.000
7        	0.428	349160	0.134	0.134	0.134	0.152	0.134	0.000
8        	0.512	293583	0.138	0.134	0.136	0.159	0.134	0.000
9        	0.721	273319	0.136	0.132	0.134	0.157	0.132	0.000
10       	0.943	246697	0.138	0.134	0.136	0.160	0.134	0.000
11       	0.877	232648	0.122	0.075	0.093	0.100	0.075	0.000
12       	0.891	210357	0.124	0.074	0.093	0.097	0.074	0.000
13       	1.095	193218	0.117	0.057	0.077	0.060	0.057	0.000
14       	1.304	172785	0.136	0.068	0.091	0.088	0.068	0.000
15       	1.360	166609	0.130	0.056	0.078	0.056	0.055	0.000
