1        	0.18s	65101	-0.000	1.000	-0.000	-0.000	-0.000	0.000
2        	0.20s	39673	0.023	0.034	0.027	0.018	0.023	0.000
3        	0.33s	28604	0.025	0.017	0.021	0.015	0.017	0.000
4        	0.37s	20254	0.029	0.016	0.021	0.017	0.016	0.000
5        	0.45s	16535	0.030	0.015	0.020	0.015	0.015	0.000
6        	0.48s	13505	0.030	0.014	0.019	0.014	0.014	0.000
7        	0.49s	11399	0.038	0.016	0.023	0.013	0.016	0.000
8        	0.57s	10067	0.038	0.016	0.022	0.013	0.016	0.000
9        	0.57s	9025	0.040	0.016	0.023	0.013	0.016	0.000
10       	0.76s	8249	0.039	0.015	0.022	0.012	0.015	0.000
11       	0.78s	7322	0.040	0.015	0.022	0.011	0.015	0.000
12       	0.75s	6693	0.038	0.014	0.021	0.011	0.014	0.000
13       	0.86s	5969	0.040	0.014	0.021	0.011	0.014	0.000
14       	0.85s	5588	0.039	0.014	0.020	0.011	0.014	0.000
15       	1.01s	5253	0.040	0.014	0.021	0.011	0.014	0.000
