1        	0.137	5	0.000	1.000	0.000	-0.000	0.000	0.000
2        	0.419	4	0.000	0.024	0.000	0.000	0.000	0.000
3        	0.740	3	0.028	0.039	0.033	0.025	0.028	0.000
4        	0.717	2	0.028	0.039	0.033	0.024	0.028	0.000
5        	0.885	2	0.027	0.018	0.022	0.015	0.018	0.000
6        	1.249	1	0.039	0.021	0.027	0.023	0.021	0.000
7        	1.718	1	0.044	0.022	0.030	0.023	0.022	0.000
8        	2.236	1	0.047	0.020	0.028	0.023	0.020	0.000
9        	2.747	1	0.051	0.020	0.029	0.022	0.020	0.000
10       	3.907	1	0.052	0.019	0.028	0.020	0.019	0.000
11       	3.225	1	0.054	0.018	0.027	0.017	0.018	0.000
12       	4.080	0	0.055	0.018	0.027	0.016	0.018	0.000
13       	5.550	0	0.056	0.017	0.026	0.015	0.017	0.000
14       	5.773	0	0.058	0.017	0.027	0.014	0.017	0.000
15       	8.229	0	0.057	0.016	0.026	0.012	0.016	0.000
